Symbol: Cr
Atomic Number: 24
Atomic Mass: 51.996100
Start Spectral Index: 24
14 0.018725
14 0.018750
20 0.018780
14 0.018813
14 0.018813
14 0.018825
14 0.018918
14 0.019000
14 0.019000
21 0.019099
14 0.019112
14 0.019222
14 0.019227
14 0.019228
20 0.019291
18 0.019352
18 0.019748
21 0.019761
12 0.019777
19 0.019911
12 0.019934
14 0.020008
14 0.020100
6 0.020101
14 0.020118
6 0.020122
6 0.020139
8 0.020152
6 0.020160
19 0.020181
19 0.020189
6 0.020206
6 0.020242
6 0.020274
7 0.020283
11 0.020394
19 0.020394
6 0.020468
19 0.020485
14 0.020491
8 0.020500
14 0.020500
6 0.020509
6 0.020509
19 0.020532
8 0.020562
8 0.020709
6 0.020749
6 0.020768
6 0.020790
9 0.020852
8 0.020861
9 0.020942
10 0.020978
9 0.021061
19 0.021097
9 0.021131
8 0.021141
9 0.021198
12 0.021266
8 0.021302
20 0.021305
11 0.021431
9 0.021502
9 0.021598
14 0.021609
8 0.021669
10 0.021671
14 0.021680
14 0.021692
14 0.021697
20 0.021699
14 0.021738
10 0.021771
10 0.021883
10 0.021889
9 0.022001
10 0.022041
12 0.022089
10 0.022119
8 0.022140
12 0.022145
14 0.022179
18 0.022198
14 0.022218
12 0.022250
12 0.022250
22 0.022302
14 0.022314
14 0.022348
14 0.022362
14 0.022365
10 0.022388
9 0.022388
10 0.022472
23 0.022542
10 0.022622
6 0.022622
11 0.022648
6 0.022720
10 0.022741
10 0.022749
6 0.022769
13 0.022861
10 0.022864
10 0.022870
11 0.023029
10 0.023121
11 0.023219
10 0.023298
11 0.023328
10 0.023380
11 0.023502
11 0.023552
11 0.023572
19 0.023604
11 0.023722
14 0.023902
14 0.023902
14 0.023922
15 0.024010
11 0.024078
7 0.024139
14 0.024140
14 0.024149
14 0.024166
11 0.024188
10 0.024220
7 0.024246
7 0.024258
7 0.024295
12 0.024302
12 0.024336
10 0.024410
10 0.024414
10 0.024419
7 0.024457
12 0.024470
7 0.024543
12 0.024551
12 0.024546
