Symbol: Cu
Atomic Number: 29
Atomic Mass: 63.546000
Start Spectral Index: 29
2 0.126551
29 0.126900
5 0.126935
4 0.127484
2 0.127557
5 0.127820
3 0.127914
2 0.128246
5 0.128613
2 0.128747
5 0.129208
4 0.129346
2 0.129839
5 0.129922
29 0.130000
2 0.130830
4 0.130941
5 0.130972
3 0.131239
2 0.131434
5 0.131889
2 0.132069
4 0.132117
5 0.132328
2 0.132639
5 0.132922
3 0.133297
3 0.133948
4 0.134008
4 0.135042
2 0.135059
2 0.135184
2 0.135531
2 0.135877
2 0.135901
4 0.136205
2 0.136260
3 0.136308
2 0.136795
2 0.137184
4 0.137214
3 0.137679
3 0.137749
4 0.137782
4 0.138880
2 0.139313
2 0.139864
2 0.140278
4 0.140549
2 0.140717
2 0.141490
4 0.141527
2 0.141843
2 0.142176
3 0.142348
2 0.142783
2 0.143024
4 0.143434
2 0.143490
2 0.143624
2 0.144214
2 0.144598
2 0.144906
4 0.144969
2 0.145030
2 0.145229
2 0.145800
2 0.145941
2 0.146375
2 0.146384
2 0.146607
4 0.146618
2 0.147070
2 0.147240
2 0.147398
2 0.147493
2 0.147606
3 0.148123
2 0.148154
4 0.148277
2 0.148533
2 0.148883
2 0.149283
2 0.149337
2 0.149543
2 0.149669
4 0.149981
2 0.150337
2 0.150476
2 0.150539
2 0.150863
2 0.151051
2 0.151247
2 0.151337
2 0.151449
4 0.151528
2 0.151763
2 0.151949
2 0.151984
2 0.152054
2 0.152486
2 0.152576
2 0.153186
2 0.153213
2 0.153399
2 0.153500
4 0.153512
2 0.153756
2 0.154024
2 0.154039
2 0.154059
2 0.154170
3 0.154346
2 0.154468
2 0.154796
2 0.155065
4 0.155112
2 0.155139
2 0.155265
2 0.155390
2 0.155513
2 0.155570
2 0.155834
2 0.156592
2 0.156641
4 0.156735
2 0.156942
2 0.157949
2 0.158063
2 0.158200
4 0.158347
2 0.158368
2 0.159017
2 0.159356
3 0.159375
4 0.159512
2 0.159840
2 0.160239
2 0.160485
2 0.160528
2 0.160683
4 0.160814
2 0.160864
2 0.161030
2 0.161792
2 0.162143
2 0.162243
2 0.163027
2 0.163660
4 0.163975
3 0.164221
2 0.164946
4 0.165016
1 0.165532
2 0.165632
2 0.166000
2 0.166300
2 0.167278
3 0.167914
1 0.168809
23 0.169000
1 0.169108
3 0.170210
1 0.170384
4 0.170437
1 0.171336
2 0.171772
3 0.172237
28 0.172400
1 0.172566
2 0.173655
3 0.174137
1 0.174157
2 0.175328
3 0.176886
1 0.177482
24 0.177600
4 0.179799
4 0.181756
4 0.181923
1 0.182535
4 0.183704
3 0.184091
4 0.184962
4 0.186724
16 0.187165
4 0.191871
2 0.192975
2 0.194460
2 0.194649
2 0.195752
4 0.196631
2 0.197049
3 0.197195
2 0.197703
2 0.197996
2 0.198986
2 0.199970
3 0.201387
2 0.203651
2 0.203778
2 0.204446
2 0.205564
2 0.207933
15 0.208600
2 0.209906
2 0.210546
2 0.211277
2 0.211798
2 0.212365
2 0.212672
2 0.213501
2 0.213666
2 0.214966
3 0.215796
2 0.216200
1 0.216577
2 0.217566
1 0.217962
2 0.218009
1 0.218240
2 0.219031
2 0.219295
2 0.219637
1 0.220027
1 0.220044
2 0.220120
2 0.221050
2 0.221096
1 0.221527
2 0.221580
1 0.221634
2 0.221880
1 0.222639
2 0.222747
1 0.222847
2 0.222956
1 0.223077
1 0.223915
2 0.224331
1 0.224496
2 0.224770
1 0.226123
1 0.226378
2 0.226449
28 0.226800
2 0.227696
28 0.228300
2 0.228735
1 0.229455
2 0.229508
3 0.230018
1 0.230383
3 0.236889
2 0.237061
3 0.239247
1 0.239336
2 0.240407
3 0.240623
1 0.240739
3 0.241307
28 0.241600
1 0.244238
28 0.244500
3 0.244518
3 0.246916
3 0.248311
2 0.248654
3 0.248721
2 0.249050
1 0.249290
2 0.250703
3 0.250925
3 0.252314
2 0.252735
3 0.253942
16 0.254525
2 0.254557
3 0.256714
2 0.257253
3 0.257410
2 0.259130
2 0.260105
3 0.261010
1 0.261915
3 0.264471
2 0.266708
2 0.269010
3 0.269718
2 0.270176
2 0.270399
2 0.271431
2 0.271958
2 0.272248
2 0.273815
2 0.274608
3 0.275214
1 0.276719
2 0.277049
2 0.279262
2 0.280035
2 0.281163
3 0.281377
1 0.282520
2 0.283820
2 0.285859
2 0.287794
2 0.288504
1 0.296203
3 0.297974
2 0.298721
1 0.299823
28 0.300300
17 0.300875
1 0.301172
1 0.303698
1 0.306430
1 0.307469
1 0.309489
1 0.310083
1 0.310950
1 0.312702
1 0.319502
1 0.320916
1 0.324410
1 0.324848
1 0.327490
1 0.328367
2 0.329137
1 0.329149
2 0.330183
2 0.330218
1 0.330890
2 0.331723
1 0.333880
2 0.333961
2 0.336661
2 0.337142
2 0.337592
28 0.337800
2 0.338168
2 0.338592
1 0.348476
13 0.350120
1 0.352524
1 0.353139
3 0.354988
1 0.360016
1 0.360306
3 0.364046
2 0.368760
3 0.370397
3 0.374576
3 0.374934
3 0.375313
3 0.377804
2 0.378734
3 0.379188
2 0.379893
3 0.380521
3 0.381026
2 0.381996
2 0.382801
2 0.386523
3 0.388278
2 0.388523
2 0.389403
2 0.390428
2 0.392176
2 0.393438
28 0.393700
18 0.394335
3 0.395493
2 0.398815
2 0.399443
2 0.400461
1 0.402377
2 0.403379
2 0.404463
2 0.404489
1 0.406379
2 0.406925
3 0.409164
2 0.413253
2 0.414418
2 0.415479
2 0.416231
2 0.416546
2 0.417303
2 0.418069
14 0.418480
2 0.421305
2 0.423164
1 0.425020
2 0.425683
1 0.427631
2 0.428117
3 0.428461
2 0.429368
3 0.435319
3 0.435402
3 0.435646
2 0.436660
3 0.437207
3 0.437263
3 0.437466
3 0.437834
3 0.438765
28 0.444400
2 0.444608
1 0.448170
2 0.450727
1 0.451070
2 0.451732
1 0.453210
1 0.454100
2 0.454230
2 0.455720
1 0.458830
2 0.459819
2 0.465057
1 0.465242
2 0.466267
2 0.467301
2 0.467488
2 0.468330
1 0.470590
2 0.475976
2 0.481429
2 0.485262
2 0.485634
2 0.487467
2 0.490280
2 0.491111
2 0.491975
2 0.492780
3 0.492879
2 0.493308
2 0.494441
2 0.495511
2 0.498690
2 0.500820
2 0.501125
2 0.501402
2 0.502268
2 0.504042
2 0.504875
2 0.505320
2 0.506032
2 0.506687
2 0.506851
2 0.507372
2 0.508969
2 0.509524
3 0.509570
2 0.510149
1 0.510696
2 0.512590
1 0.515468
2 0.515953
3 0.517041
2 0.518481
3 0.520979
1 0.521965
3 0.522066
1 0.522160
3 0.527006
2 0.527146
2 0.527799
1 0.529399
3 0.531926
2 0.536988
3 0.537128
16 0.537725
3 0.541999
3 0.549647
3 0.557549
3 0.561056
1 0.570182
3 0.570370
3 0.577016
1 0.578373
2 0.580760
2 0.583513
3 0.585234
28 0.588300
2 0.589961
2 0.593922
2 0.594284
3 0.596690
2 0.599492
2 0.600178
2 0.602493
2 0.607390
2 0.608203
2 0.610168
3 0.610256
2 0.610910
2 0.611619
2 0.615209
2 0.615592
28 0.617300
2 0.617374
2 0.618860
2 0.619039
2 0.619981
2 0.620598
2 0.621018
2 0.621866
2 0.622157
2 0.626358
2 0.627508
2 0.629044
2 0.630275
2 0.630772
2 0.631424
2 0.632822
3 0.637103
2 0.637503
2 0.637960
2 0.640515
2 0.642566
2 0.644475
2 0.645034
2 0.646803
2 0.647196
2 0.648323
2 0.648621
3 0.651434
2 0.651912
2 0.653189
2 0.655310
2 0.657890
2 0.662612
2 0.664323
3 0.664596
2 0.666280
2 0.677223
3 0.679507
2 0.680809
2 0.681153
2 0.682509
2 0.684605
2 0.687069
2 0.687413
2 0.688130
2 0.693947
2 0.695479
2 0.697950
2 0.702480
2 0.719688
2 0.732803
2 0.733371
2 0.738431
2 0.740639
2 0.743620
2 0.756410
2 0.765444
2 0.766676
2 0.768390
2 0.774623
2 0.778088
2 0.780733
2 0.780981
2 0.782781
2 0.786274
2 0.789274
2 0.790473
1 0.793531
2 0.794662
2 0.797423
2 0.799036
1 0.809486
2 0.827983
2 0.828544
2 0.850573
2 0.851340
2 0.861150
2 0.981590
2 0.983067
2 0.983349
2 0.986398
2 0.986684
2 0.988668
2 0.991914
2 0.992067
2 0.992832
2 0.994172
2 0.996309
2 1.000933
2 1.002572
2 1.004084
2 1.005769
2 1.008312
End Spectral Lines:
