Symbol: Mg
Atomic Number: 12
Atomic Mass: 24.305000
Start Spectral Index: 12
4 0.014087
4 0.014091
4 0.014096
6 0.014187
11 0.014200
9 0.014214
9 0.014281
5 0.014294
11 0.014340
9 0.014385
9 0.014393
9 0.014437
5 0.014454
5 0.014454
5 0.014454
5 0.014454
5 0.014455
5 0.014455
8 0.014455
8 0.014455
8 0.014501
8 0.014501
5 0.014549
8 0.014577
8 0.014581
5 0.014608
5 0.014608
5 0.014647
5 0.014647
4 0.014653
11 0.014658
5 0.014662
11 0.014668
11 0.014670
6 0.014671
4 0.014684
4 0.014695
4 0.014701
4 0.014705
5 0.014720
5 0.014721
4 0.014725
6 0.014727
4 0.014732
4 0.014740
4 0.014741
4 0.014750
4 0.014753
4 0.014763
4 0.014775
4 0.014788
4 0.014798
4 0.014812
9 0.014851
11 0.014857
9 0.014889
4 0.014890
4 0.014896
4 0.014902
8 0.014912
8 0.014939
4 0.014940
8 0.014942
4 0.014946
11 0.015010
9 0.015040
5 0.015084
11 0.015084
11 0.015108
11 0.015113
11 0.015114
5 0.015124
11 0.015135
11 0.015137
11 0.015138
5 0.015181
9 0.015182
5 0.015202
7 0.015213
5 0.015215
5 0.015218
9 0.015223
5 0.015239
5 0.015253
7 0.015255
7 0.015264
9 0.015268
6 0.015279
6 0.015279
9 0.015280
9 0.015280
9 0.015280
7 0.015280
7 0.015303
9 0.015304
9 0.015304
7 0.015313
7 0.015329
7 0.015333
6 0.015341
6 0.015341
7 0.015367
5 0.015373
7 0.015388
7 0.015398
5 0.015418
9 0.015445
7 0.015447
9 0.015454
9 0.015454
11 0.015457
11 0.015466
11 0.015466
11 0.015473
9 0.015478
11 0.015489
6 0.015508
6 0.015512
11 0.015515
11 0.015522
9 0.015527
11 0.015547
6 0.015569
6 0.015575
11 0.015581
11 0.015620
11 0.015621
11 0.015631
11 0.015631
11 0.015632
6 0.015633
6 0.015633
11 0.015634
6 0.015646
9 0.015708
7 0.015710
6 0.015710
9 0.015721
9 0.015746
11 0.015749
3 0.015770
3 0.015798
8 0.015802
8 0.015802
8 0.015806
8 0.015806
3 0.015852
11 0.015883
9 0.015905
8 0.015912
8 0.015917
8 0.015917
3 0.015920
9 0.015930
5 0.015948
9 0.015967
3 0.015974
4 0.016023
4 0.016023
11 0.016058
4 0.016080
9 0.016092
3 0.016111
9 0.016157
9 0.016160
3 0.016166
9 0.016170
9 0.016174
9 0.016178
7 0.016195
9 0.016205
9 0.016209
9 0.016344
3 0.016356
3 0.016413
3 0.016439
9 0.016451
5 0.016467
6 0.016488
3 0.016495
3 0.016519
9 0.016529
7 0.016539
9 0.016564
9 0.016612
6 0.016691
6 0.016692
6 0.016692
6 0.016748
6 0.016748
6 0.016748
6 0.016748
6 0.016749
6 0.016749
6 0.016749
6 0.016749
6 0.016764
6 0.016764
6 0.016765
6 0.016765
9 0.016770
3 0.016914
3 0.016974
10 0.017023
10 0.017023
9 0.017046
3 0.017080
6 0.017128
6 0.017128
8 0.017136
8 0.017136
3 0.017139
4 0.017165
4 0.017166
4 0.017165
4 0.017166
8 0.017169
8 0.017186
8 0.017186
3 0.017190
6 0.017205
4 0.017231
4 0.017231
4 0.017231
7 0.017353
7 0.017386
7 0.017386
10 0.017391
10 0.017391
6 0.017527
6 0.017527
6 0.017530
6 0.017530
6 0.017607
6 0.017607
6 0.017611
6 0.017611
11 0.017663
8 0.017710
8 0.017711
8 0.017736
8 0.017780
8 0.017784
8 0.017784
8 0.017847
11 0.017880
8 0.017880
8 0.017880
4 0.018007
4 0.018007
1 0.018060
4 0.018061
4 0.018061
4 0.018079
1 0.018100
4 0.018134
4 0.018134
10 0.018152
10 0.018174
