Symbol: Sc
Atomic Number: 21
Atomic Mass: 44.955900
Start Spectral Index: 21
5 0.055728
5 0.055728
4 0.055751
5 0.055766
5 0.055778
5 0.055798
5 0.055798
3 0.055799
7 0.055804
3 0.055861
5 0.055918
18 0.055982
5 0.056066
5 0.056075
6 0.056116
5 0.056143
4 0.056189
5 0.056226
7 0.056250
8 0.056255
4 0.056264
8 0.056278
5 0.056283
5 0.056291
5 0.056324
5 0.056399
5 0.056513
5 0.056601
5 0.056636
6 0.056677
4 0.056677
4 0.056725
5 0.056747
5 0.056805
5 0.056915
5 0.056998
5 0.057010
6 0.057030
6 0.057063
7 0.057125
8 0.057144
5 0.057156
6 0.057190
5 0.057223
4 0.057267
8 0.057299
8 0.057321
5 0.057335
5 0.057411
5 0.057438
4 0.057467
6 0.057556
5 0.057667
10 0.057686
5 0.057744
5 0.057878
4 0.057942
5 0.058010
5 0.058028
5 0.058052
5 0.058065
5 0.058102
6 0.058139
3 0.058211
5 0.058233
3 0.058278
5 0.058432
5 0.058462
4 0.058483
5 0.058505
11 0.058550
5 0.058616
5 0.058624
5 0.058637
5 0.058682
10 0.058697
5 0.058747
5 0.058771
5 0.058794
10 0.058810
5 0.058813
5 0.058868
5 0.058920
3 0.058932
3 0.058949
5 0.058958
5 0.058979
5 0.058987
11 0.059000
3 0.059001
5 0.059138
5 0.059149
5 0.059179
5 0.059347
5 0.059410
5 0.059507
5 0.059508
5 0.059565
10 0.059596
7 0.059653
10 0.059662
5 0.059710
10 0.059777
7 0.059871
5 0.059902
12 0.060153
14 0.060663
4 0.061569
4 0.061710
5 0.062113
4 0.062260
4 0.062338
4 0.062351
4 0.062395
10 0.062447
20 0.062640
3 0.062707
3 0.062785
3 0.062785
4 0.062884
5 0.063203
3 0.064277
3 0.064313
8 0.064318
3 0.064360
5 0.064542
5 0.064654
5 0.064900
5 0.064946
11 0.065261
11 0.065261
11 0.065291
5 0.065969
8 0.066379
5 0.067141
4 0.068132
4 0.068565
4 0.068638
4 0.068886
4 0.068907
5 0.069137
4 0.069156
4 0.069209
4 0.069245
4 0.069320
3 0.069373
3 0.069397
4 0.069426
4 0.069480
4 0.069495
4 0.069539
4 0.069562
8 0.069618
4 0.069763
4 0.069870
4 0.070005
4 0.070119
4 0.070120
4 0.070565
4 0.070585
5 0.070641
5 0.070692
4 0.070767
5 0.071138
4 0.071212
4 0.071245
4 0.071481
4 0.071688
5 0.071743
4 0.071812
4 0.072288
4 0.072456
5 0.072644
3 0.073060
3 0.073165
3 0.073166
4 0.073388
10 0.073641
4 0.074023
4 0.074760
4 0.075069
4 0.075070
4 0.075103
4 0.075442
4 0.075663
4 0.075751
4 0.076143
4 0.076187
4 0.076851
3 0.076902
3 0.076952
4 0.076970
4 0.077158
4 0.077939
3 0.077953
3 0.078060
3 0.078073
4 0.078512
4 0.078900
4 0.079170
5 0.079375
4 0.079385
5 0.079624
4 0.079992
4 0.080211
5 0.080628
5 0.081939
5 0.084255
4 0.084641
4 0.085298
5 0.085476
10 0.085556
4 0.085743
4 0.086101
4 0.086125
4 0.086130
4 0.086662
4 0.087498
4 0.087667
4 0.087968
4 0.088024
5 0.088299
5 0.088482
4 0.088712
5 0.088849
4 0.089086
5 0.089897
15 0.089955
4 0.090095
4 0.090316
4 0.090369
4 0.090592
4 0.090873
4 0.091750
4 0.091778
4 0.092066
4 0.093142
4 0.093439
3 0.096105
3 0.096545
3 0.096629
3 0.097064
3 0.097074
3 0.097329
3 0.097497
18 0.098720
5 0.099427
16 0.099557
14 0.101841
14 0.102257
14 0.102257
11 0.102980
16 0.104870
11 0.105410
11 0.105730
5 0.111139
15 0.112040
15 0.112040
5 0.112203
5 0.113548
4 0.113945
5 0.114812
3 0.114824
5 0.115027
5 0.115347
3 0.115452
5 0.115524
2 0.116022
2 0.116135
2 0.116162
2 0.116178
3 0.116244
2 0.116254
2 0.116346
5 0.116532
3 0.116861
3 0.116888
5 0.118833
5 0.118925
4 0.119587
5 0.120032
2 0.120364
5 0.120535
4 0.120853
5 0.121262
4 0.121939
5 0.122395
5 0.122668
5 0.122778
4 0.122820
5 0.123036
5 0.123045
4 0.123338
4 0.123563
5 0.123634
2 0.123717
2 0.123732
2 0.123856
2 0.123881
2 0.123896
5 0.123947
5 0.123962
2 0.123995
2 0.124041
2 0.124066
2 0.124081
2 0.124117
2 0.124128
2 0.124198
5 0.124221
5 0.124222
2 0.124269
4 0.124566
4 0.124623
5 0.124661
5 0.124703
2 0.124783
5 0.125120
4 0.125320
4 0.125566
4 0.126025
5 0.126139
5 0.126308
2 0.126565
5 0.126586
2 0.126625
4 0.126763
5 0.126838
5 0.126839
5 0.126981
4 0.127041
5 0.127192
5 0.127215
5 0.127318
15 0.127400
15 0.127400
5 0.127413
5 0.127644
16 0.127660
16 0.127660
5 0.127708
5 0.127726
4 0.127879
5 0.127936
5 0.128098
