Symbol: Ni
Atomic Number: 28
Atomic Mass: 58.693000
Start Spectral Index: 28
9 0.010168
9 0.010170
9 0.010185
18 0.010191
9 0.010193
23 0.010204
24 0.010211
18 0.010218
9 0.010228
9 0.010234
9 0.010237
9 0.010248
23 0.010250
9 0.010254
9 0.010260
9 0.010271
18 0.010275
18 0.010277
24 0.010288
23 0.010304
23 0.010324
22 0.010333
21 0.010340
9 0.010341
24 0.010347
22 0.010343
24 0.010355
9 0.010361
23 0.010383
9 0.010389
9 0.010393
9 0.010398
9 0.010399
25 0.010407
24 0.010463
23 0.010470
22 0.010589
22 0.010606
23 0.010606
22 0.010613
24 0.010669
23 0.010700
18 0.010730
23 0.010801
23 0.010829
23 0.010859
18 0.010870
24 0.010901
23 0.010909
21 0.010931
18 0.010937
21 0.010945
18 0.011039
18 0.011050
18 0.011052
23 0.011122
18 0.011141
18 0.011143
18 0.011152
18 0.011154
23 0.011179
23 0.011183
23 0.011253
24 0.011312
22 0.011448
18 0.011438
18 0.011460
18 0.011467
18 0.011494
17 0.011566
18 0.011598
18 0.011601
18 0.011602
22 0.011793
25 0.011799
22 0.011820
24 0.011858
18 0.011902
18 0.011915
18 0.011932
18 0.011945
21 0.012034
23 0.012047
25 0.012052
24 0.012117
18 0.012246
24 0.012271
18 0.012330
18 0.012332
22 0.012338
18 0.012398
18 0.012402
22 0.012431
22 0.012449
18 0.012451
18 0.012455
18 0.012456
18 0.012464
18 0.012469
18 0.012522
18 0.012545
24 0.012630
22 0.012631
23 0.012677
25 0.012672
23 0.012713
23 0.012721
22 0.012730
23 0.012748
24 0.012779
23 0.012815
10 0.012829
23 0.012830
10 0.012880
25 0.012882
22 0.012885
23 0.012889
10 0.012926
18 0.012982
18 0.013015
18 0.013029
18 0.013030
18 0.013062
18 0.013094
25 0.013099
18 0.013130
23 0.013160
18 0.013193
23 0.013265
23 0.013352
24 0.013477
24 0.013477
24 0.013543
23 0.013550
25 0.013593
18 0.013600
18 0.013615
18 0.013617
22 0.013630
23 0.013659
24 0.013701
23 0.013757
18 0.013831
18 0.013848
24 0.013885
21 0.013904
9 0.014054
9 0.014092
9 0.014092
9 0.014100
9 0.014135
18 0.014286
18 0.014288
18 0.014292
18 0.014294
24 0.014330
23 0.014393
10 0.014422
10 0.014432
18 0.014454
18 0.014472
22 0.014481
10 0.014488
10 0.014499
10 0.014506
18 0.014543
18 0.014550
10 0.014573
18 0.014574
18 0.014575
10 0.014608
9 0.014701
12 0.014784
11 0.014838
17 0.014937
22 0.015026
9 0.015033
9 0.015058
9 0.015083
9 0.015102
9 0.015128
16 0.015150
9 0.015170
25 0.015190
12 0.015215
12 0.015215
22 0.015291
12 0.015318
24 0.015349
16 0.015404
12 0.015417
13 0.015469
13 0.015512
22 0.015656
24 0.015674
13 0.015753
14 0.015762
13 0.015773
12 0.015780
10 0.015838
13 0.015878
25 0.015882
24 0.015969
12 0.015998
13 0.015997
10 0.015998
12 0.016055
10 0.016079
23 0.016106
13 0.016155
13 0.016175
16 0.016209
23 0.016214
14 0.016262
23 0.016271
23 0.016281
16 0.016318
16 0.016319
16 0.016364
15 0.016364
14 0.016415
13 0.016417
16 0.016429
14 0.016471
14 0.016480
25 0.016533
26 0.016541
9 0.016544
9 0.016544
9 0.016604
9 0.016630
12 0.016688
14 0.016812
